ratio,cent_y,cent_x,eccentricity,solidity,skew_x,skew_y,kurt_x,kurt_y,output
0.14617241379310345,0.4054255057744287,0.5040142517814727,0.9649791857319467,0.16517241379310343,0.04849867747397589,0.5497217357446766,-1.303785744137292,-0.5419781521849376,1
0.12813198635528733,0.39876105207374557,0.479573076036751,0.9362538347208293,0.14713198635528732,0.24884561078818696,0.38784240497183564,-1.1836327893887477,-0.6958122369550617,1
0.12366267763649963,0.41137357099663086,0.4875494828246712,0.9130840825355169,0.14266267763649962,0.18607910206408837,0.6214319075160506,-1.0406465202230109,-0.42606531464823916,1
0.12407156942350075,0.4813363221845785,0.5181078664956941,0.9345333874200332,0.14307156942350074,-0.051413264772990366,0.09816104572831416,-1.0892385752075842,-1.0995594616452553,1
0.10071902937420178,0.37424769172790656,0.4608993624772313,0.9071938718947008,0.11971902937420179,0.43886359683828424,0.4753322328840661,-0.6849762503490013,-0.6848681725911419,1
0.13985411651420318,0.5360314240172231,0.4839917677061429,0.9035102225825105,0.15885411651420317,0.11764593365752044,0.23397995080267367,-1.2910954415288058,-1.102367601530104,0
0.12202282192237215,0.5431597793670268,0.47655267342240787,0.915197910115644,0.14102282192237214,0.12843425208721712,0.23689761212570962,-1.1693803699254226,-0.8371588590213144,0
0.14445991561181434,0.5202818905339913,0.4825949367088608,0.9110526398892225,0.16345991561181433,0.11750606592952996,0.3348631510495552,-1.2920527542606952,-1.092887239445606,0
0.1267986005476118,0.49011200916438624,0.47162597591405664,0.9069256926028124,0.1457986005476118,0.23342236403622058,0.38904726613719504,-1.2777585062079349,-0.9082484639353587,0
0.11472803226735812,0.47564687160000646,0.4756388270203727,0.8948227159289033,0.1337280322673581,0.17365457844932847,0.4107793367478287,-1.2842620175552595,-0.8023059265021726,0
